source,pulled_at,sgo_event_id,date,start_time_utc,week,away_team,home_team,market_spread_home,market_spread_open_home,market_spread_text,market_spread_book,market_spread_price,market_spread_last_update,market_best_home_spread_home,market_best_home_spread_text,market_best_home_spread_price,market_best_home_spread_book,market_best_away_spread_home,market_best_away_spread_text,market_best_away_spread_price,market_best_away_spread_book,market_total,market_total_open,market_total_book,market_total_over_price,market_total_under_price,market_total_last_update,market_best_over_total,market_best_over_price,market_best_over_book,market_best_under_total,market_best_under_price,market_best_under_book,market_home_moneyline,market_home_moneyline_book,market_away_moneyline,market_away_moneyline_book,market_books_available,market_price_status
SportsGameOdds,2026-07-17T17:10:02.590959+00:00,q2Sm8u4f8eKOgLKeY1m9,2026-08-29,2026-08-29T16:00:00.000Z,1,North Carolina,TCU,-6.5,-6.5,TCU -6.5,fanduel,-110,2026-07-03T00:15:22.288Z,-6.5,TCU -6.5,-110,fanduel,-6.5,North Carolina +6.5,-110,fanduel,49.5,49.5,fanduel,-114,-106,2026-07-03T00:15:22.288Z,49.5,-108,draftkings,49.5,-106,fanduel,-235,fanduel,195,fanduel,"1xbet,ballybet,betfairsportsbook,betmgm,betonline,betparx,betrivers,betsson,bovada,caesars,casumo,coolbet,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,nordicbet,paddypower,pointsbet,sportsbet,tabtouch,unibet,virginbet",actual
SportsGameOdds,2026-07-17T17:10:02.590959+00:00,djp3nmDjGDvoFC2jyllO,2026-08-29,2026-08-29T19:00:00.000Z,1,San Jose State,USC,-35.5,-35.5,USC -35.5,fanduel,-105,2026-07-03T00:15:22.288Z,-35.5,USC -35.5,-105,fanduel,-35.5,San Jose State +35.5,-115,fanduel,58.5,57.5,fanduel,-115,-105,2026-07-03T00:15:22.288Z,55.5,-110,betmgm,58.5,-105,fanduel,,,,,"1xbet,betmgm,betonline,betsson,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,sportsbet",actual
SportsGameOdds,2026-07-17T17:10:02.590959+00:00,0AfOFu3Y3jrU8Z2wTd2A,2026-08-29,2026-08-29T19:30:00.000Z,1,NC State,Virginia,-5.5,-5.5,Virginia -5.5,fanduel,-110,2026-07-03T00:15:22.288Z,-5.5,Virginia -5.5,-110,fanduel,-5.5,NC State +5.5,-110,fanduel,54.5,54.5,betmgm,-110,-110,2026-07-03T00:15:04.000Z,54.5,-115,caesars,54.5,-110,betmgm,-205,fanduel,168,fanduel,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,betsson,bovada,caesars,casumo,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,nordicbet,pointsbet,sportsbet,tabtouch,unibet,virginbet",actual
SportsGameOdds,2026-07-17T17:10:02.590959+00:00,mizoRBpOw5LCzrDg0sl1,2026-08-29,2026-08-29T21:30:00.000Z,1,Jacksonville State,North Dakota State,-7.5,-8.5,North Dakota State -7.5,fanduel,-110,2026-07-03T00:15:22.288Z,-7.5,North Dakota State -7.5,-110,fanduel,-8.5,Jacksonville State +8.5,-110,betmgm,47.5,47.5,fanduel,-110,-110,2026-07-03T00:15:22.288Z,47.5,-110,fanduel,48.5,-110,draftkings,-315,fanduel,250,fanduel,"1xbet,betmgm,betonline,betsson,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,pointsbet,sportsbet",actual
SportsGameOdds,2026-07-17T17:10:02.590959+00:00,xbCOjReBdyGPLVxh74Gh,2026-08-29,2026-08-29T22:30:00.000Z,1,Sacramento State,Eastern Michigan,-7.5,-8.5,Eastern Michigan -7.5,fanduel,-115,2026-07-03T00:15:22.288Z,-7.5,Eastern Michigan -7.5,-115,fanduel,-8.5,Sacramento State +8.5,-110,caesars,53.5,53.5,fanduel,-110,-110,2026-07-03T00:15:22.288Z,52.5,-114,caesars,53.5,-110,fanduel,-320,fanduel,255,fanduel,"1xbet,betmgm,betonline,betsson,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,sportsbet",actual
SportsGameOdds,2026-07-17T17:10:02.590959+00:00,krkdz1iBG7AWaaq1Jyqz,2026-08-29,2026-08-29T23:00:00.000Z,1,New Mexico State,Florida State,-29.5,-30.5,Florida State -29.5,fanduel,-110,2026-07-03T00:15:22.288Z,-29.5,Florida State -29.5,-110,fanduel,-30.5,New Mexico State +30.5,-110,betmgm,52.5,53.5,fanduel,-110,-110,2026-07-03T00:15:22.288Z,52.5,-110,fanduel,53.5,-105,draftkings,-10000,fanduel,2400,fanduel,"1xbet,betmgm,betonline,betsson,bovada,caesars,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,pointsbet,sportsbet",actual
SportsGameOdds,2026-07-17T17:10:02.590959+00:00,ubS25mURM5WPDHV73jCJ,2026-08-29,2026-08-29T23:00:00.000Z,1,Hawaii,Stanford,-3.5,-3.5,Stanford -3.5,betmgm,-110,2026-07-03T00:15:04.000Z,-3.5,Stanford -3.5,-110,betmgm,-3.5,Hawaii +3.5,-110,betmgm,50.5,50.5,fanduel,-110,-110,2026-07-03T00:15:22.288Z,50.5,-108,caesars,50.5,-110,fanduel,-192,fanduel,158,fanduel,"1xbet,betmgm,betonline,betsson,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,pointsbet,sportsbet",actual
SportsGameOdds,2026-07-17T17:10:02.590959+00:00,VTgTcNSLLTwRNGD4Opib,2026-08-30,2026-08-30T02:00:00.000Z,1,Memphis,UNLV,-4.5,-3.5,UNLV -4.5,fanduel,-115,2026-07-03T00:15:22.288Z,-3.5,UNLV -3.5,-110,betmgm,-4.5,Memphis +4.5,-105,fanduel,58.5,59.5,fanduel,-115,-105,2026-07-03T00:15:22.288Z,58.5,-115,fanduel,59.5,-110,betmgm,-210,fanduel,172,fanduel,"1xbet,ballybet,betmgm,betonline,betparx,betrivers,betsson,bovada,caesars,casumo,coolbet,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,lowvig,nordicbet,pointsbet,sportsbet,tabtouch,unibet,virginbet",actual
SportsGameOdds,2026-07-17T17:10:02.590959+00:00,znRjCUMuw52Bx8RpEBh2,2026-09-03,2026-09-03T22:00:00.000Z,1,UMass,Rutgers,-30.5,-30.5,Rutgers -30.5,fanduel,-115,2026-07-03T00:15:22.288Z,-30.5,Rutgers -30.5,-115,fanduel,-30.5,UMass +30.5,-105,fanduel,54.5,54.5,fanduel,-110,-110,2026-07-03T00:15:22.288Z,54.5,-110,fanduel,55.5,-110,draftkings,-10000,fanduel,3000,fanduel,"1xbet,betmgm,betonline,betsson,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,pointsbet,sportsbet",actual
SportsGameOdds,2026-07-17T17:10:02.590959+00:00,Row5TbgQenxNrQi5WPIR,2026-09-03,2026-09-03T23:00:00.000Z,1,Akron,Wake Forest,-22.5,-22.5,Wake Forest -22.5,fanduel,-115,2026-07-03T00:15:22.288Z,-22.5,Wake Forest -22.5,-115,fanduel,-22.5,Akron +22.5,-105,fanduel,49.5,49.5,fanduel,-110,-110,2026-07-03T00:15:22.288Z,49.5,-114,caesars,49.5,-110,fanduel,-3500,fanduel,1280,fanduel,"1xbet,betmgm,betonline,betsson,bovada,caesars,coolbet,coral,draftkings,fanduel,hardrockbet,ladbrokes,lowvig,nordicbet,pointsbet,sportsbet",actual
