hfa,games,mae,rmse,mean_error,median_error,within_1_point_pct,within_2_points_pct,distance_from_2_5
2.7,2204,3.7470961887477316,5.10451207826652,0.1623411978221416,8.881784197001252e-16,19.82758620689655,37.34119782214156,0.20000000000000018
2.69,2204,3.7471052631578945,5.104203829512723,0.1523411978221415,-0.009999999999998677,19.147005444646098,36.796733212341195,0.18999999999999995
2.68,2204,3.747114337568058,5.1039151549820945,0.14234119782214144,-0.01999999999999913,19.147005444646098,36.796733212341195,0.18000000000000016
2.67,2204,3.7471234119782215,5.103646057996132,0.13234119782214174,-0.02999999999999936,19.147005444646098,36.796733212341195,0.16999999999999993
2.66,2204,3.747132486388385,5.103396541651747,0.12234119782214166,-0.03999999999999915,19.147005444646098,36.796733212341195,0.16000000000000014
2.65,2204,3.7471415607985477,5.103166608821092,0.11234119782214132,-0.049999999999998934,19.147005444646098,36.796733212341195,0.1499999999999999
2.64,2204,3.747150635208712,5.102956262151395,0.10234119782214202,-0.05999999999999872,19.147005444646098,36.796733212341195,0.14000000000000012
2.63,2204,3.7471597096188756,5.102765504064799,0.09234119782214131,-0.0699999999999994,19.147005444646098,36.796733212341195,0.1299999999999999
2.62,2204,3.7471687840290375,5.102594336758237,0.08234119782214182,-0.0799999999999983,19.147005444646098,36.796733212341195,0.1200000000000001
2.61,2204,3.747177858439201,5.102442762203296,0.07234119782214113,-0.08999999999999941,19.147005444646098,36.796733212341195,0.10999999999999988
2.6,2204,3.7471869328493645,5.102310782146101,0.06234119782214181,-0.09999999999999853,19.328493647912886,37.65880217785844,0.10000000000000009
2.71,2204,3.7472686025408346,5.104839897697598,0.17234119782214183,0.010000000000001563,19.419237749546276,36.796733212341195,0.20999999999999996
2.59,2204,3.7473411978221414,5.102198398107223,0.05234119782214151,-0.10999999999999943,18.602540834845733,37.34119782214156,0.08999999999999986
2.72,2204,3.7474410163339384,5.105187284035882,0.18234119782214162,0.02000000000000135,19.419237749546276,36.796733212341195,0.2200000000000002
2.58,2204,3.747495462794918,5.102105611381586,0.042341197822141415,-0.11999999999999833,18.602540834845733,37.34119782214156,0.08000000000000007
2.73,2204,3.747613430127042,5.105554233287323,0.1923411978221417,0.030000000000001137,19.419237749546276,36.796733212341195,0.22999999999999998
2.57,2204,3.747649727767695,5.102032423038394,0.03234119782214174,-0.129999999999999,18.602540834845733,37.34119782214156,0.06999999999999984
2.74,2204,3.7477858439201457,5.105940741234132,0.20234119782214202,0.040000000000000924,19.419237749546276,36.796733212341195,0.2400000000000002
2.56,2204,3.747803992740472,5.101978833921068,0.0223411978221416,-0.1399999999999988,18.602540834845733,37.34119782214156,0.06000000000000005
2.55,2204,3.7479582577132486,5.1019448446472,0.012341197822141546,-0.14999999999999858,18.602540834845733,37.34119782214156,0.04999999999999982
2.75,2204,3.7479582577132486,5.106346803435015,0.21234119782214156,0.05000000000000071,19.419237749546276,36.796733212341195,0.25
2.54,2204,3.7481125226860255,5.101930455608514,0.002341197822141292,-0.15999999999999925,18.602540834845733,37.34119782214156,0.040000000000000036
2.76,2204,3.7481306715063516,5.106772415225437,0.22234119782214115,0.060000000000001386,19.419237749546276,36.796733212341195,0.2599999999999998
2.53,2204,3.7482667876588023,5.101935666970847,-0.007658802177858466,-0.16999999999999882,18.602540834845733,37.34119782214156,0.029999999999999805
2.77,2204,3.748303085299455,5.1072175717178805,0.23234119782214144,0.07000000000000073,19.419237749546276,36.796733212341195,0.27
2.52,2204,3.748421052631579,5.101960478674135,-0.01765880217785857,-0.17999999999999927,18.602540834845733,37.34119782214156,0.020000000000000018
2.78,2204,3.748475499092559,5.107682267802132,0.24234119782214156,0.08000000000000118,19.419237749546276,36.796733212341195,0.2799999999999998
2.51,2204,3.748575317604356,5.102004890432424,-0.027658802177858873,-0.18999999999999861,18.602540834845733,37.34119782214156,0.009999999999999787
2.79,2204,3.7486479128856627,5.108166498145569,0.25234119782214126,0.09000000000000075,19.419237749546276,36.796733212341195,0.29000000000000004
2.5,2204,3.748729582577132,5.102068901733877,-0.03765880217785844,-0.1999999999999993,19.28312159709619,37.97640653357532,0.0
2.8,2204,3.7488203266787647,5.108670257193471,0.26234119782214155,0.10000000000000142,20.326678765880217,37.43194192377495,0.2999999999999998
2.49,2204,3.749056261343013,5.10215251184081,-0.04765880217785797,-0.20999999999999908,18.647912885662432,37.25045372050816,0.009999999999999787
2.81,2204,3.749219600725953,5.1091935391693335,0.2723411978221416,0.11000000000000121,19.509981851179674,36.84210526315789,0.31000000000000005
