venue_key,venue,home_team,latitude,longitude,timezone,roof_type,stadium_orientation_deg,notes
aac no. 1,AAC No. 1,AAC No. 1,,,,outdoor,,skipped placeholder/conference TBD venue
acc no. 1,ACC No. 1,ACC No. 1,,,,outdoor,,skipped placeholder/conference TBD venue
acrisure stadium,Acrisure Stadium,Pittsburgh,40.446717,-80.01572,,outdoor,,"geocoded via Nominatim: Acrisure Stadium stadium United States | Acrisure Stadium, Art Rooney Avenue, North Shore, Pittsburgh, Allegheny County, Pennsylvania, 15290, United States"
aggie memorial stadium,Aggie Memorial Stadium,New Mexico State,32.279626,-106.74112,,outdoor,,"geocoded via Nominatim: Aggie Memorial Stadium stadium United States | Aggie Memorial Stadium, Arrowhead Drive, University Park, Doña Ana County, New Mexico, 88003, United States"
alamodome,Alamodome,UTSA,29.416892,-98.478895,,dome,,"geocoded via Nominatim: Alamodome stadium United States | Alamodome, 100, Montana Street, San Antonio, Bexar County, Texas, 78203, United States"
albertsons stadium,Albertsons Stadium,Boise State,43.602725,-116.196784,,outdoor,,"geocoded via Nominatim: Albertsons Stadium stadium United States | Albertsons Stadium, South Bronco Lane, East End, Boise, Ada County, Idaho, 83725, United States"
allegacy federal credit union stadium,Allegacy Federal Credit Union Stadium,Wake Forest,36.130554,-80.254632,,outdoor,,"geocoded via Nominatim: Allegacy Federal Credit Union Stadium stadium United States | Allegacy Federal Credit Union Stadium, Piccolo Lane, Winston-Salem, Forsyth County, North Carolina, 27109, United States"
allegiant stadium,Allegiant Stadium,UNLV,36.090736,-115.18333,,dome,,"geocoded via Nominatim: Allegiant Stadium stadium United States | Allegiant Stadium, 3333, Al Davis Way, Las Vegas, Clark County, Nevada, 89118, United States"
allen e. paulson stadium,Allen E. Paulson Stadium,Georgia Southern,32.412144,-81.783337,,outdoor,,"geocoded via Nominatim: Allen E. Paulson Stadium stadium United States | Paulson Stadium, Chandler Road, Stadium Walk, Statesboro, Bulloch County, Georgia, 30458, United States"
"alumni stadium (chestnut hill, ma)","Alumni Stadium (Chestnut Hill, MA)",Boston College,42.3351,-71.1665,America/New_York,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable | geocode failed | geocode failed
amfirst stadium,AmFirst Stadium,Jacksonville State,33.820369,-85.766126,,outdoor,,"geocoded via Nominatim: AmFirst Stadium stadium United States | AmFirst Stadium, Street Avenue, Jacksonville, Calhoun County, Alabama, 36265, United States"
amon g. carter stadium,Amon G. Carter Stadium,TCU,32.7096,-97.3681,America/Chicago,outdoor,,fill lat/lon/timezone; roof_type outdoor/indoor/dome/retractable | geocode failed | geocode failed
appalachian state,Appalachian State,Appalachian State,36.211489,-81.685572,,outdoor,,"geocoded via Nominatim: Kidd Brewer Stadium stadium United States | Kidd Brewer Stadium, 1, Jack Branch Drive, Dougherty Heights, Boone, Watauga County, North Carolina, 28608, United States"
