season,team,opponent
2023,Arizona,Stanford
2023,Auburn,California
2023,Coastal Carolina,UCLA
2023,Colorado,TCU
2023,Hawai'i,Stanford
2023,Nebraska,Colorado
2023,North Texas,California
2025,North Texas,Washington State
2023,Oregon,Hawai'i
2024,Oregon,Oregon State
2023,Oregon,Texas Tech
2025,Oregon State,California
2025,Oregon State,Oregon
2023,Oregon State,San Diego State
2024,Oregon State,San Diego State
2023,Oregon State,Washington State
2024,Purdue,Oregon State
2023,San Diego State,Oregon State
2024,San Diego State,Oregon State
2025,San Diego State,Washington State
2023,TCU,Colorado
2023,Texas Tech,Oregon
2025,Texas Tech,Oregon State
2023,UCLA,San Diego State
2023,USC,Nevada
2023,USC,Stanford
2023,UTEP,Arizona
2023,Utah,Baylor
2023,Utah,Florida
2023,Utah,UCLA
2023,Washington,Boise State
2023,Washington,California
2023,Washington,Tulsa
2025,Washington,Washington State
2023,Washington State,Oregon State
2024,Washington State,Washington
2023,Wisconsin,Washington State
