model_id,checkpoint,threshold,sample_classification,n,record,wins,losses,pushes,win_pct,roi,avg_clv,median_clv,positive_clv_pct,beat_close_pct,won_line_move_pct,clv_implied_ev,mae,rmse,bias,avg_edge,median_edge
spread_4src_25_25_25_25_v1,CLOSE,0.5,CANONICAL_REFERENCE_CLOSE,2934,1458-1451-25,1458,1451,25,0.5012031625988312,-0.04278986180826671,0.0,0.0,0.0,0.0,,,12.355501022494884,15.510178532474619,-0.11021301976823444,2.544395023858214,2.1025
spread_4src_25_25_25_25_v1,CLOSE,1.0,CANONICAL_REFERENCE_CLOSE,2438,1205-1210-23,1205,1210,23,0.4989648033126294,-0.046983369378775446,0.0,0.0,0.0,0.0,,,12.333119360131255,15.483012990644223,-0.20859310910582443,2.912409762100082,2.4675
spread_4src_25_25_25_25_v1,CLOSE,1.5,CANONICAL_REFERENCE_CLOSE,1971,977-974-20,977,974,20,0.5007688364941056,-0.04354042710207093,0.0,0.0,0.0,0.0,,,12.359349315068494,15.48662447623955,-0.17237316083206494,3.3078500761035015,2.9
spread_4src_25_25_25_25_v1,CLOSE,2.0,CANONICAL_REFERENCE_CLOSE,1550,776-758-16,776,758,16,0.5058670143415906,-0.03390029325513196,0.0,0.0,0.0,0.0,,,12.459779032258066,15.562102702662832,0.04104032258064526,3.7350177419354837,3.3125
spread_4src_25_25_25_25_v1,CLOSE,2.5,CANONICAL_REFERENCE_CLOSE,1204,601-594-9,601,594,9,0.502928870292887,-0.039565086076713975,0.0,0.0,0.0,0.0,,,12.657265365448504,15.797355656506706,0.3211067275747507,4.165870016611296,3.74
spread_4src_25_25_25_25_v1,CLOSE,3.0,CANONICAL_REFERENCE_CLOSE,934,467-459-8,467,459,8,0.5043196544276458,-0.036889234962040086,0.0,0.0,0.0,0.0,,,12.786506959314773,15.980326895635807,0.22497591006423984,4.57548982869379,4.22625
spread_4src_25_25_25_25_v1,CLOSE,3.5,CANONICAL_REFERENCE_CLOSE,681,328-348-5,328,348,5,0.48520710059171596,-0.07315445200907757,0.0,0.0,0.0,0.0,,,12.764262114537445,15.92772273069285,-0.02194933920704853,5.072338472834067,4.705
spread_4src_25_25_25_25_v1,CLOSE,4.0,CANONICAL_REFERENCE_CLOSE,528,255-270-3,255,270,3,0.4857142857142857,-0.07231404958677684,0.0,0.0,0.0,0.0,,,12.80865056818182,16.012766432253997,-0.24623579545454538,5.457410037878788,5.03
spread_4src_25_25_25_25_v1,CLOSE,4.5,CANONICAL_REFERENCE_CLOSE,382,192-187-3,192,187,3,0.5065963060686016,-0.03260352213231793,0.0,0.0,0.0,0.0,,,12.812552356020943,16.06747881054228,-0.2721989528795812,5.923075916230367,5.481249999999999
spread_4src_25_25_25_25_v1,CLOSE,5.0,CANONICAL_REFERENCE_CLOSE,270,137-132-1,137,132,1,0.5092936802973977,-0.027609427609427598,0.0,0.0,0.0,0.0,,,12.798453703703702,16.275106976806068,-1.1887129629629627,6.410861111111111,6.0337499999999995
