_source_file,_game_date,away_team,home_team,_away_norm,_home_norm,rows,snapshots,first_snapshot,last_snapshot
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,East Carolina,Alabama,east carolina,alabama,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,Florida Atlantic,Florida,florida atlantic,florida,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,Florida International,South Florida,florida international,south florida,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,Fresno State,USC,fresno state,usc,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,Kent State,South Carolina,kent state,south carolina,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,Marshall,Penn State,marshall,penn state,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,Miami (OH),Pittsburgh,miami oh,pittsburgh,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,Missouri State,Texas A&M,missouri state,texas a m,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,North Alabama,Arkansas,north alabama,arkansas,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,North Texas,Indiana,north texas,indiana,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,Northern Illinois,Iowa,northern illinois,iowa,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,Ohio,Nebraska,ohio,nebraska,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,Oklahoma State,Tulsa,oklahoma state,tulsa,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,Oregon State,Houston,oregon state,houston,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,Sam Houston,Troy,sam houston,troy,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,Texas State,Texas,texas state,texas,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,Toledo,Michigan State,toledo,michigan state,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,Tulane,Duke,tulane,duke,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,UTEP,Oklahoma,utep,oklahoma,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,Western Michigan,Michigan,western michigan,michigan,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-05,Wyoming,Colorado State,wyoming,colorado state,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-06,Louisville,Ole Miss,louisville,ole miss,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-06,Wisconsin,Notre Dame,wisconsin,notre dame,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-07,SMU,Florida State,smu,florida state,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-12,Arizona State,Texas A&M,arizona state,texas a m,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-12,Iowa State,Iowa,iowa state,iowa,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-12,Ohio State,Texas,ohio state,texas,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-12,Oklahoma,Michigan,oklahoma,michigan,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-09-12,Oregon,Oklahoma State,oregon,oklahoma state,1,1,nan,nan
data/odds/actionnetwork_season_game_lines_2026.csv,2026-11-14,Texas Tech,Oklahoma State,texas tech,oklahoma state,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-08-29,Hawai'i,Stanford,hawaii,stanford,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-08-29,Jacksonville State,North Dakota State,jacksonville state,north dakota state,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-08-29,NC State,Virginia,nc state,virginia,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-08-29,New Mexico State,Florida State,new mexico state,florida state,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-08-29,North Carolina,TCU,north carolina,tcu,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-08-29,Sacramento State,Eastern Michigan,sacramento state,eastern michigan,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-03,Akron,Wake Forest,akron,wake forest,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-03,Massachusetts,Rutgers,massachusetts,rutgers,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Arkansas State,Memphis,arkansas state,memphis,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Ball State,Ohio State,ball state,ohio state,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Baylor,Auburn,baylor,auburn,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Boise State,Oregon,boise state,oregon,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Boston College,Cincinnati,boston college,cincinnati,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Clemson,LSU,clemson,lsu,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Coastal Carolina,West Virginia,coastal carolina,west virginia,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,East Carolina,Alabama,east carolina,alabama,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Florida Atlantic,Florida,florida atlantic,florida,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Florida International,South Florida,florida international,south florida,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Fresno State,USC,fresno state,usc,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Kent State,South Carolina,kent state,south carolina,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Marshall,Penn State,marshall,penn state,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Miami (OH),Pittsburgh,miami oh,pittsburgh,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Missouri State,Texas A&M,missouri state,texas a m,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,North Texas,Indiana,north texas,indiana,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Northern Illinois,Iowa,northern illinois,iowa,1,1,nan,nan
data/odds/season_game_lines_2026.csv,2026-09-05,Ohio,Nebraska,ohio,nebraska,1,1,nan,nan
